payment_id,customer_id,amount,payment_method,failure_reason,previous_payments,previous_failures,days_since_last_payment,subscription,hour,is_weekend,recovered
PAY00035,CUST2752,42403,netbanking,bank_decline,10,1,1,1,19,0,0
PAY00036,CUST0301,35334,upi,technical_error,8,2,44,0,7,1,1
PAY00037,CUST1168,10438,wallet,technical_error,22,4,78,0,21,1,1
PAY00038,CUST2718,6888,upi,expired_card,3,1,70,0,8,1,1
PAY00039,CUST2478,13903,netbanking,insufficient_balance,21,4,64,1,8,0,1
PAY00040,CUST0379,41668,wallet,expired_card,1,0,42,0,20,1,1
PAY00041,CUST0662,48677,wallet,technical_error,22,6,71,0,3,0,1
PAY00042,CUST2831,9868,card,expired_card,18,8,18,1,4,0,0
PAY00043,CUST1263,23997,card,expired_card,6,3,85,0,11,1,0
PAY00044,CUST2543,49217,upi,insufficient_balance,27,2,22,1,0,0,1
PAY00045,CUST1361,27082,upi,expired_card,5,1,48,0,15,0,1
PAY00046,CUST0818,30266,netbanking,expired_card,26,3,28,0,21,0,0
PAY00047,CUST1633,21612,netbanking,network_timeout,30,4,44,1,21,1,1
PAY00048,CUST0114,7659,netbanking,insufficient_balance,18,4,4,0,19,1,1
PAY00049,CUST1416,47845,netbanking,bank_decline,19,8,14,1,18,0,0
PAY00050,CUST1044,3008,wallet,network_timeout,16,8,87,0,11,1,1
PAY00051,CUST0287,43631,netbanking,technical_error,10,1,38,1,21,1,0
PAY00052,CUST1337,26471,netbanking,technical_error,4,3,53,1,21,0,0
PAY00053,CUST2522,37396,netbanking,bank_decline,17,0,38,1,6,1,0
PAY00054,CUST2376,39858,netbanking,bank_decline,14,7,86,0,16,1,1
PAY00055,CUST0696,43278,card,expired_card,16,5,11,0,21,1,0
PAY00056,CUST0921,13150,upi,network_timeout,1,3,60,0,14,1,0
PAY00057,CUST2580,37827,upi,authentication_failed,22,6,63,1,7,0,1
PAY00058,CUST2688,45164,card,network_timeout,24,6,28,0,22,1,1
PAY00059,CUST0206,36630,upi,network_timeout,14,2,59,1,14,1,1
PAY00060,CUST2245,29323,upi,authentication_failed,27,7,57,1,7,1,1
PAY00061,CUST2136,31858,upi,expired_card,14,1,36,0,8,1,1
PAY00062,CUST1310,35499,card,insufficient_balance,4,3,49,0,22,0,1
PAY00063,CUST0264,27288,wallet,expired_card,17,7,53,0,6,1,1
PAY00064,CUST1596,38378,card,technical_error,12,7,0,1,9,1,1
PAY00065,CUST1717,35372,upi,bank_decline,7,4,55,1,0,1,0
PAY00066,CUST1377,43935,wallet,authentication_failed,5,7,16,0,12,0,0
PAY00067,CUST0344,42223,wallet,insufficient_balance,27,7,23,0,8,1,1
PAY00068,CUST1341,13971,wallet,expired_card,10,6,35,1,8,0,1
PAY00069,CUST1927,1370,card,expired_card,7,1,83,0,0,0,1
PAY00070,CUST0817,1435,upi,insufficient_balance,4,7,85,0,18,0,1
PAY00071,CUST1905,45940,netbanking,expired_card,5,1,20,1,3,0,0
PAY00072,CUST1278,37835,wallet,bank_decline,30,3,9,0,3,1,0
PAY00073,CUST2803,39448,card,technical_error,25,0,44,1,21,1,1
PAY00074,CUST0283,33258,netbanking,network_timeout,27,6,62,0,13,1,0
PAY00075,CUST2604,30229,upi,bank_decline,5,8,83,1,19,1,0
PAY00076,CUST1905,28645,netbanking,expired_card,27,3,11,1,14,0,0
PAY00077,CUST1904,37445,wallet,expired_card,0,7,41,0,15,0,0
PAY00078,CUST1454,17031,netbanking,expired_card,28,4,71,0,16,0,1
PAY00079,CUST0351,15917,wallet,bank_decline,17,3,88,1,20,1,1
PAY00080,CUST1836,1230,card,expired_card,7,6,88,0,9,1,0
PAY00081,CUST1939,36372,netbanking,bank_decline,23,8,42,1,22,1,1
PAY00082,CUST1110,20194,netbanking,insufficient_balance,3,3,40,0,23,0,0
PAY00083,CUST0785,14280,wallet,expired_card,23,8,76,1,3,0,0
PAY00084,CUST1214,15008,netbanking,insufficient_balance,9,0,90,0,8,0,1
PAY00085,CUST0224,36364,netbanking,authentication_failed,30,2,81,1,3,0,1
PAY00086,CUST2352,18734,wallet,bank_decline,14,5,23,0,8,1,0
PAY00087,CUST0468,4382,wallet,bank_decline,2,0,19,0,18,1,1
PAY00088,CUST0349,16365,card,technical_error,24,6,77,0,16,1,0
PAY00089,CUST1846,29114,netbanking,technical_error,13,4,72,0,19,0,0
PAY00090,CUST0852,41093,upi,expired_card,21,1,20,0,5,0,1
PAY00091,CUST0642,275,wallet,bank_decline,22,7,37,0,7,1,0
PAY00092,CUST2896,18628,wallet,network_timeout,21,3,33,0,13,0,1
PAY00093,CUST2231,14833,upi,expired_card,26,2,9,0,5,1,0
PAY00094,CUST2438,49183,netbanking,bank_decline,3,7,88,1,22,1,0
PAY00095,CUST1116,32898,wallet,bank_decline,2,0,55,1,19,1,0
PAY00096,CUST0106,6085,upi,authentication_failed,26,0,86,1,18,0,1
PAY00097,CUST0718,30934,wallet,expired_card,5,6,81,1,2,1,0
PAY00098,CUST1426,26861,netbanking,expired_card,21,1,20,1,13,1,1
PAY00099,CUST1181,43523,wallet,technical_error,1,7,11,1,8,1,1
PAY00100,CUST0475,26588,card,authentication_failed,27,8,59,1,1,0,1
PAY00101,CUST2124,23809,wallet,authentication_failed,14,0,26,1,17,0,1
PAY00102,CUST1180,28812,wallet,network_timeout,0,3,90,0,9,0,0
PAY00103,CUST2263,26838,card,insufficient_balance,26,1,59,0,20,0,1
PAY00104,CUST2042,47063,netbanking,technical_error,22,4,53,1,15,0,1
PAY00105,CUST1871,36227,upi,bank_decline,6,8,17,0,8,1,1
PAY00106,CUST1393,33375,netbanking,network_timeout,9,4,75,1,4,1,1
PAY00107,CUST2207,31841,netbanking,expired_card,17,8,48,1,10,0,0
PAY00108,CUST2857,15750,wallet,insufficient_balance,27,6,5,1,23,1,0
PAY00109,CUST2889,25084,wallet,authentication_failed,25,2,63,0,4,1,1
PAY00110,CUST0412,28955,card,technical_error,29,7,1,0,13,0,1
PAY00111,CUST0307,30868,netbanking,expired_card,19,6,83,0,10,1,0
PAY00112,CUST1298,41177,wallet,technical_error,1,1,30,1,7,0,1
PAY00113,CUST1778,6551,card,bank_decline,5,4,3,0,10,0,1
PAY00114,CUST1202,23592,netbanking,bank_decline,4,3,67,1,18,0,1
PAY00115,CUST0697,11573,card,technical_error,27,6,79,0,15,0,0
PAY00116,CUST0952,30321,netbanking,bank_decline,8,0,59,1,21,0,0
PAY00117,CUST0303,29049,netbanking,technical_error,9,6,88,1,14,1,0
PAY00118,CUST0816,25311,wallet,network_timeout,7,6,73,1,18,1,1
PAY00119,CUST2865,19448,card,authentication_failed,12,4,1,0,19,1,0
PAY00120,CUST1173,15181,netbanking,insufficient_balance,20,3,79,1,21,0,1
PAY00121,CUST2574,6467,card,expired_card,25,7,4,1,23,0,1
PAY00122,CUST0370,19440,netbanking,authentication_failed,13,2,25,0,17,1,0
PAY00123,CUST2175,32985,netbanking,insufficient_balance,8,7,37,1,3,1,1
PAY00124,CUST0309,9324,upi,authentication_failed,23,6,71,1,2,1,1
PAY00125,CUST0058,17431,card,bank_decline,11,4,74,1,20,1,1
PAY00126,CUST0444,44326,upi,bank_decline,0,8,41,0,20,0,0
PAY00127,CUST2603,30526,netbanking,authentication_failed,13,1,17,0,1,1,0
PAY00128,CUST2018,7710,card,insufficient_balance,28,8,17,1,14,1,0
PAY00129,CUST2747,48802,wallet,technical_error,23,2,53,0,15,1,1
PAY00130,CUST1146,2244,netbanking,insufficient_balance,14,7,30,1,3,1,1
PAY00131,CUST2231,42359,netbanking,network_timeout,12,4,24,0,14,0,1
PAY00132,CUST2715,14000,card,network_timeout,25,5,31,0,18,0,1
PAY00133,CUST0282,36420,upi,technical_error,6,3,42,0,19,0,1
PAY00134,CUST1136,9582,upi,technical_error,8,2,14,0,4,0,1
PAY00135,CUST1468,15693,netbanking,network_timeout,5,4,6,0,23,1,0
PAY00136,CUST2155,7548,card,bank_decline,14,5,65,0,14,0,0
PAY00137,CUST2520,2941,netbanking,bank_decline,20,0,7,1,12,1,1
PAY00138,CUST2811,7175,wallet,authentication_failed,29,7,9,0,10,0,1
PAY00139,CUST0270,8370,netbanking,technical_error,20,8,41,1,19,1,1
PAY00140,CUST1859,33231,wallet,network_timeout,25,1,83,0,13,1,0
PAY00141,CUST0936,27219,netbanking,bank_decline,12,6,12,1,13,1,1
PAY00142,CUST2725,16804,netbanking,insufficient_balance,21,7,8,0,2,0,1
PAY00143,CUST1769,6428,netbanking,insufficient_balance,17,0,75,1,21,0,1
PAY00144,CUST1683,23273,wallet,authentication_failed,1,4,76,1,11,0,1
PAY00145,CUST2368,33353,upi,insufficient_balance,21,7,28,0,11,1,1
PAY00146,CUST0471,18356,upi,bank_decline,27,8,79,0,19,1,0
PAY00147,CUST0119,11923,netbanking,authentication_failed,24,4,43,1,0,0,1
PAY00148,CUST0587,37214,wallet,network_timeout,4,0,11,0,12,1,1
PAY00149,CUST1859,22440,upi,expired_card,9,5,72,0,1,0,0
PAY00150,CUST0645,49542,card,authentication_failed,2,4,56,1,15,1,1
PAY00151,CUST1697,18002,upi,technical_error,3,5,55,0,9,1,0
PAY00152,CUST2159,43821,netbanking,network_timeout,7,6,76,0,0,0,1
PAY00153,CUST1235,13943,upi,expired_card,9,5,15,0,15,1,0
PAY00154,CUST0720,8566,wallet,technical_error,22,3,64,1,2,1,1
PAY00155,CUST0174,28688,card,bank_decline,29,1,40,1,18,1,0
PAY00156,CUST2907,42052,wallet,expired_card,3,6,2,1,5,1,0
PAY00157,CUST2825,23814,card,bank_decline,27,1,31,1,18,1,1
PAY00158,CUST2147,5254,wallet,expired_card,23,5,28,1,5,0,0
PAY00159,CUST2091,41599,card,technical_error,16,3,44,1,23,0,1
PAY00160,CUST0968,6837,upi,expired_card,6,2,77,0,20,0,0
PAY00161,CUST0726,41253,wallet,bank_decline,24,7,87,1,20,1,0
PAY00162,CUST0619,28920,card,bank_decline,14,4,35,0,11,0,1
PAY00163,CUST1272,30360,wallet,network_timeout,1,5,36,0,20,0,0
PAY00164,CUST2520,39033,wallet,bank_decline,18,8,5,1,18,0,0
PAY00165,CUST1317,39749,wallet,technical_error,4,0,57,0,10,0,1
PAY00166,CUST2067,42444,upi,network_timeout,7,7,56,0,11,1,0
PAY00167,CUST1159,25489,wallet,expired_card,21,0,80,1,2,1,1
PAY00168,CUST0388,36666,wallet,expired_card,8,2,42,0,18,0,1
PAY00169,CUST1433,20431,wallet,insufficient_balance,19,1,39,1,20,1,1
PAY00170,CUST0524,44016,card,authentication_failed,21,6,65,1,0,1,0
PAY00171,CUST1266,11913,upi,expired_card,30,7,24,0,4,0,1
PAY00172,CUST0317,19485,card,technical_error,24,8,67,0,21,1,1
PAY00173,CUST2532,8688,wallet,insufficient_balance,5,2,88,0,23,1,1
PAY00174,CUST0179,27026,netbanking,authentication_failed,23,3,56,1,23,1,1
PAY00175,CUST0959,35096,upi,expired_card,30,7,24,1,21,1,1
PAY00176,CUST1892,18566,wallet,technical_error,16,6,20,0,19,0,1
PAY00177,CUST1025,3519,wallet,expired_card,17,1,66,0,9,0,0
PAY00178,CUST0657,17977,wallet,technical_error,4,6,11,0,14,1,0
PAY00179,CUST0110,27290,card,bank_decline,16,5,30,1,2,1,0
PAY00180,CUST0920,1947,netbanking,network_timeout,26,5,18,0,1,1,1
PAY00181,CUST1936,45717,upi,authentication_failed,15,7,78,0,2,0,0
PAY00182,CUST1049,14233,upi,technical_error,30,8,54,0,9,0,1
PAY00183,CUST1234,8085,card,insufficient_balance,13,7,8,0,15,0,0
PAY00184,CUST2589,33875,upi,authentication_failed,4,4,54,0,19,1,1
PAY00185,CUST0986,37499,wallet,insufficient_balance,21,1,67,1,2,0,1
PAY00186,CUST1600,30910,card,authentication_failed,12,5,32,0,11,0,0
PAY00187,CUST1413,15902,card,technical_error,23,5,17,0,11,1,0
PAY00188,CUST2633,11574,wallet,authentication_failed,15,2,17,0,22,1,1
PAY00189,CUST0152,19331,upi,network_timeout,25,3,5,1,9,1,1
PAY00190,CUST2225,31124,netbanking,network_timeout,24,3,36,1,1,1,1
PAY00191,CUST1120,8257,netbanking,bank_decline,28,6,56,1,10,0,0
PAY00192,CUST2033,45455,wallet,expired_card,29,8,34,0,23,1,1
PAY00193,CUST0324,28320,upi,technical_error,9,5,13,0,10,1,0
PAY00194,CUST1256,29323,wallet,insufficient_balance,22,7,44,1,1,1,0
PAY00195,CUST2519,28604,netbanking,authentication_failed,25,0,9,1,11,0,1
PAY00196,CUST0128,9457,wallet,network_timeout,4,1,30,1,11,1,1
PAY00197,CUST2324,2222,upi,authentication_failed,14,5,47,1,2,0,0
PAY00198,CUST2169,24148,wallet,expired_card,20,4,31,0,0,0,0
PAY00199,CUST2045,34030,wallet,technical_error,3,4,33,1,6,1,0
PAY00200,CUST2843,32291,upi,network_timeout,4,1,57,0,22,1,0
PAY00201,CUST0360,44790,netbanking,authentication_failed,11,1,70,1,9,0,1
PAY00202,CUST2916,46601,upi,expired_card,16,3,15,0,4,0,1
PAY00203,CUST2024,1822,netbanking,technical_error,18,5,59,0,19,0,1
PAY00204,CUST0270,20369,wallet,authentication_failed,23,7,67,1,13,0,0
PAY00205,CUST0514,20876,card,bank_decline,14,8,44,0,17,0,0
PAY00206,CUST0529,28452,card,network_timeout,16,2,38,0,5,1,1
PAY00207,CUST2906,14876,netbanking,technical_error,28,4,10,1,6,1,1
PAY00208,CUST0513,41061,netbanking,technical_error,17,1,64,0,18,0,1
PAY00209,CUST0702,43270,netbanking,technical_error,1,0,10,0,20,1,1
PAY00210,CUST2668,13915,wallet,technical_error,20,0,63,1,20,1,1
PAY00211,CUST1979,16148,wallet,expired_card,14,1,88,0,5,1,1
PAY00212,CUST1703,31835,wallet,insufficient_balance,10,2,40,1,23,1,1
PAY00213,CUST1634,8669,netbanking,technical_error,17,1,40,0,14,0,1
PAY00214,CUST1096,29564,upi,insufficient_balance,3,0,37,1,19,1,1
PAY00215,CUST1017,10566,netbanking,technical_error,23,5,24,0,15,1,1
PAY00216,CUST2043,20320,wallet,network_timeout,2,6,64,1,7,0,1
PAY00217,CUST2390,23227,card,network_timeout,9,7,76,1,9,0,1
PAY00218,CUST0441,28341,upi,expired_card,23,5,51,1,1,1,0
PAY00219,CUST0210,37473,upi,expired_card,17,4,9,1,16,1,0
PAY00220,CUST2253,18431,card,insufficient_balance,3,6,47,1,17,1,1
PAY00221,CUST0591,13145,wallet,technical_error,1,0,4,0,22,1,1
PAY00222,CUST1941,34134,wallet,insufficient_balance,19,8,17,1,19,1,1
PAY00223,CUST0666,25852,netbanking,technical_error,10,8,65,1,22,1,1
PAY00224,CUST1946,1190,netbanking,expired_card,21,1,53,1,23,0,1
PAY00225,CUST2445,31202,netbanking,authentication_failed,25,3,6,1,5,1,1
PAY00226,CUST0606,44712,upi,network_timeout,18,1,24,0,14,1,1
PAY00227,CUST1716,10024,wallet,authentication_failed,6,6,64,1,23,0,1
PAY00228,CUST2891,9149,upi,technical_error,10,7,67,1,10,0,1
PAY00229,CUST1883,35039,netbanking,technical_error,11,4,78,1,6,0,0
PAY00230,CUST1143,36674,netbanking,insufficient_balance,30,4,36,0,22,1,1
PAY00231,CUST1299,31544,netbanking,technical_error,29,4,36,0,18,1,0
PAY00232,CUST1617,22718,upi,expired_card,1,4,10,1,14,1,0
PAY00233,CUST1963,14123,upi,technical_error,8,8,89,1,4,0,1
PAY00234,CUST2522,48655,upi,insufficient_balance,1,8,28,0,1,0,0
PAY00235,CUST1693,21746,wallet,network_timeout,21,2,0,0,13,1,1
PAY00236,CUST1956,42733,upi,expired_card,10,4,82,0,2,0,0
PAY00237,CUST2192,48510,card,insufficient_balance,13,2,4,1,15,0,1
PAY00238,CUST1186,2555,card,expired_card,18,1,42,1,14,1,1
PAY00239,CUST0550,33144,wallet,expired_card,6,1,42,0,23,1,0
PAY00240,CUST2656,16960,upi,network_timeout,23,5,37,0,5,1,1
PAY00241,CUST1752,33869,netbanking,network_timeout,12,1,23,0,15,1,0
PAY00242,CUST1017,547,netbanking,bank_decline,7,7,34,1,9,0,1
PAY00243,CUST1072,42939,netbanking,authentication_failed,7,0,85,0,14,1,0
PAY00244,CUST0655,26669,netbanking,authentication_failed,3,4,47,0,7,0,0
PAY00245,CUST1959,10139,wallet,authentication_failed,19,5,53,1,17,0,1
PAY00246,CUST1014,44686,card,technical_error,14,8,90,1,2,0,0
PAY00247,CUST0253,35990,upi,technical_error,17,2,21,1,16,1,1
PAY00248,CUST0477,44683,upi,authentication_failed,18,7,11,1,1,1,0
PAY00249,CUST0541,33736,wallet,bank_decline,18,0,71,1,21,1,0
PAY00250,CUST2963,1526,wallet,expired_card,26,0,27,0,1,1,0
PAY00251,CUST1412,46000,card,technical_error,1,1,60,0,9,1,1
PAY00252,CUST0738,8975,wallet,expired_card,28,6,57,1,12,0,0
PAY00253,CUST2797,43471,upi,authentication_failed,27,5,15,0,17,1,0
PAY00254,CUST2167,8445,upi,network_timeout,24,0,38,1,21,1,1
PAY00255,CUST2179,24956,upi,insufficient_balance,14,5,19,1,6,0,1
PAY00256,CUST0132,43366,wallet,technical_error,24,0,30,0,2,0,1
PAY00257,CUST2433,2300,wallet,technical_error,21,0,31,0,12,1,0
PAY00258,CUST0960,35473,upi,network_timeout,4,8,37,0,23,1,1
PAY00259,CUST2366,39285,netbanking,insufficient_balance,9,2,84,0,13,1,1
PAY00260,CUST1128,4094,upi,authentication_failed,21,6,71,1,1,1,1
PAY00261,CUST2636,44097,wallet,technical_error,10,6,52,0,9,1,0
PAY00262,CUST0754,49541,wallet,insufficient_balance,27,3,38,0,14,0,0
PAY00263,CUST2304,27145,wallet,technical_error,16,2,49,0,8,0,1
PAY00264,CUST1353,42482,card,bank_decline,27,5,11,0,1,1,0
PAY00265,CUST1545,44249,card,network_timeout,6,8,27,1,6,1,0
PAY00266,CUST1242,1104,upi,insufficient_balance,30,1,61,0,22,0,1
PAY00267,CUST1625,15784,netbanking,expired_card,12,7,68,1,9,1,1
PAY00268,CUST1474,33707,wallet,bank_decline,3,7,40,0,11,1,0
PAY00269,CUST1696,3096,upi,authentication_failed,4,0,33,1,9,0,1
PAY00270,CUST0804,21718,upi,bank_decline,18,3,63,1,8,1,1
PAY00271,CUST2964,42154,wallet,bank_decline,5,5,21,0,23,1,1
PAY00272,CUST0754,35629,card,technical_error,1,1,85,0,0,1,0
PAY00273,CUST0564,41433,upi,network_timeout,22,2,1,0,16,1,1
PAY00274,CUST1529,4061,wallet,authentication_failed,15,0,0,1,0,0,0
PAY00275,CUST2169,47429,netbanking,technical_error,9,0,64,1,5,0,1
PAY00276,CUST0395,34466,upi,insufficient_balance,6,8,32,1,8,1,1
PAY00277,CUST0324,24548,wallet,bank_decline,18,3,89,0,9,0,1
PAY00278,CUST2678,42691,card,network_timeout,12,6,48,1,1,0,1
PAY00279,CUST2879,11331,card,bank_decline,27,6,82,1,18,0,1
PAY00280,CUST2164,2888,upi,insufficient_balance,28,7,34,0,2,1,0
PAY00281,CUST2225,37030,card,insufficient_balance,29,5,2,0,18,0,0
PAY00282,CUST2920,26202,card,expired_card,5,3,72,1,21,1,1
PAY00283,CUST1573,49619,upi,authentication_failed,23,1,64,1,1,0,1
PAY00284,CUST1791,15313,card,expired_card,19,6,41,0,20,1,0
PAY00285,CUST1846,32252,upi,expired_card,17,6,55,0,21,1,0
PAY00286,CUST0352,40641,netbanking,insufficient_balance,22,1,10,1,4,1,1
PAY00287,CUST2916,41643,upi,authentication_failed,12,5,46,0,2,0,1
PAY00288,CUST1263,29246,netbanking,expired_card,3,2,11,0,13,1,0
PAY00289,CUST2282,36455,wallet,network_timeout,0,1,45,0,19,1,1
PAY00290,CUST1578,908,netbanking,bank_decline,12,1,71,0,18,0,1
PAY00291,CUST2808,25051,upi,insufficient_balance,8,4,34,1,4,0,1
PAY00292,CUST0685,28586,netbanking,bank_decline,9,7,9,1,8,0,0
PAY00293,CUST2953,41062,wallet,technical_error,19,3,58,0,4,1,0
PAY00294,CUST0028,26032,netbanking,technical_error,12,5,56,1,13,0,1
PAY00295,CUST1231,21115,upi,bank_decline,10,2,50,1,9,1,1
PAY00296,CUST2359,15987,netbanking,bank_decline,8,6,46,0,18,0,0
PAY00297,CUST2426,35858,upi,authentication_failed,24,8,3,1,22,0,0
PAY00298,CUST1796,19192,card,bank_decline,21,7,17,1,7,1,0
PAY00299,CUST2698,10201,wallet,bank_decline,2,7,76,1,18,1,0
PAY00300,CUST2189,33301,wallet,technical_error,1,5,89,0,3,0,1
PAY00301,CUST2694,43661,netbanking,insufficient_balance,20,0,72,1,10,1,1
PAY00302,CUST0434,791,card,expired_card,7,8,66,0,14,1,0
PAY00303,CUST1603,30447,upi,expired_card,0,7,13,1,13,0,0
PAY00304,CUST0476,47951,upi,expired_card,9,5,58,0,16,1,1
PAY00305,CUST1427,31305,card,bank_decline,23,7,40,0,9,0,1
PAY00306,CUST2912,7642,card,expired_card,20,1,86,0,23,0,0
PAY00307,CUST2114,11532,upi,expired_card,17,6,59,0,12,0,0
PAY00308,CUST0764,42074,wallet,bank_decline,0,3,57,1,12,0,0
PAY00309,CUST2887,14176,upi,expired_card,24,1,73,0,17,0,0
PAY00310,CUST1499,21463,upi,bank_decline,3,4,85,1,16,1,0
PAY00311,CUST2446,25569,wallet,technical_error,3,5,45,1,19,0,1
PAY00312,CUST2760,46367,netbanking,technical_error,18,1,86,0,10,0,1
PAY00313,CUST0978,20113,card,insufficient_balance,11,2,65,1,13,0,1
PAY00314,CUST2355,25246,wallet,insufficient_balance,15,8,88,0,17,0,0
PAY00315,CUST2006,19029,upi,insufficient_balance,10,7,79,0,11,0,0
PAY00316,CUST1985,9047,upi,bank_decline,30,8,64,1,13,1,1
PAY00317,CUST1703,46639,wallet,bank_decline,5,1,72,0,7,1,1
PAY00318,CUST0134,18112,upi,technical_error,9,2,58,1,17,0,1
PAY00319,CUST2346,7584,netbanking,technical_error,26,5,69,0,23,1,1
PAY00320,CUST2238,14422,wallet,network_timeout,23,3,38,0,14,1,1
PAY00321,CUST1428,5800,wallet,network_timeout,24,3,26,1,22,1,1
PAY00322,CUST0680,40480,upi,insufficient_balance,26,3,7,1,17,1,1
PAY00323,CUST2445,35408,upi,expired_card,22,4,37,1,16,0,0
PAY00324,CUST0556,49258,wallet,network_timeout,8,2,89,0,7,0,1
PAY00325,CUST2914,21208,upi,authentication_failed,12,7,18,1,20,1,0
PAY00326,CUST1537,29721,card,authentication_failed,25,1,51,1,22,1,1
PAY00327,CUST1863,32084,netbanking,technical_error,0,1,58,1,2,1,1
PAY00328,CUST0893,28257,upi,bank_decline,8,5,36,1,17,0,1
PAY00329,CUST2319,31907,netbanking,authentication_failed,24,0,5,0,20,1,1
PAY00330,CUST0067,8242,upi,bank_decline,14,0,54,0,22,0,1
PAY00331,CUST2663,19883,upi,expired_card,2,5,32,0,11,0,0
PAY00332,CUST0213,26074,netbanking,authentication_failed,22,3,54,0,22,0,0
PAY00333,CUST0005,14086,wallet,network_timeout,4,3,66,1,0,0,1
PAY00334,CUST2850,22616,card,bank_decline,22,2,61,0,7,1,1
PAY00335,CUST0366,47991,card,network_timeout,10,5,38,0,12,0,1
PAY00336,CUST2628,44476,upi,network_timeout,16,0,78,0,14,1,1
PAY00337,CUST2960,14062,upi,bank_decline,19,7,27,0,3,0,1
PAY00338,CUST0505,38738,wallet,expired_card,30,6,40,0,7,1,1
PAY00339,CUST2641,5621,upi,technical_error,19,4,88,0,21,1,1
PAY00340,CUST0842,34031,upi,authentication_failed,12,4,82,0,7,1,1
PAY00341,CUST1581,7488,upi,bank_decline,20,1,67,0,11,1,1
PAY00342,CUST0541,25451,wallet,expired_card,17,2,60,0,0,0,1
PAY00343,CUST0057,17282,upi,network_timeout,29,0,50,1,20,1,1
PAY00344,CUST1735,46093,wallet,network_timeout,20,8,68,0,8,0,1
PAY00345,CUST1270,5278,upi,insufficient_balance,17,5,50,0,9,1,1
PAY00346,CUST2990,15739,card,insufficient_balance,2,6,14,1,19,0,1
PAY00347,CUST1267,43752,upi,network_timeout,0,2,89,0,5,1,1
PAY00348,CUST1421,34375,netbanking,insufficient_balance,11,2,34,0,0,1,1
PAY00349,CUST1759,17924,card,expired_card,22,1,63,1,16,1,1
PAY00350,CUST0228,32842,upi,expired_card,5,4,13,0,7,0,1
PAY00351,CUST0181,905,upi,network_timeout,15,5,49,0,5,0,1
PAY00352,CUST2265,46894,wallet,insufficient_balance,10,3,53,1,8,0,0
PAY00353,CUST2342,24532,card,technical_error,21,0,22,0,16,0,1
PAY00354,CUST1643,4617,wallet,expired_card,24,4,41,0,17,1,1
PAY00355,CUST0033,24277,upi,expired_card,18,4,79,0,14,1,1
PAY00356,CUST2424,32432,upi,authentication_failed,28,8,31,0,0,1,1
PAY00357,CUST0098,15369,netbanking,authentication_failed,26,0,42,0,21,1,1
PAY00358,CUST2979,20253,card,insufficient_balance,16,3,53,1,1,0,1
PAY00359,CUST2915,18438,card,network_timeout,29,3,66,1,22,1,0
